num,grid,count,fast_count,slow_count,area,lon,la,CBD,dynamic_pricing
1,102,30,3,27,0.71,114.103,22.54041,0,0
3,105,93,0,93,0.77,114.1208,22.55127,0,0
5,107,88,2,86,0.89,114.1304,22.54486,0,0
6,108,39,0,39,1.26,114.1315,22.55403,0,0
7,109,39,0,39,3.15,114.143,22.56388,0,0
8,110,86,12,74,2.13,114.1434,22.54906,0,0
9,111,85,0,85,1.76,114.1278,22.5638,0,0
10,115,23,0,23,0.72,114.1143,22.56839,0,0
13,123,28,0,28,3.69,114.1498,22.58204,0,0
14,124,56,0,56,26.92,114.183,22.5889,0,0
15,202,57,0,57,2.04,114.0532,22.55627,1,0
17,204,57,0,57,1.11,114.0622,22.5636,1,0
18,205,59,0,59,0.89,114.0649,22.55055,1,0
19,206,115,0,115,0.65,114.0652,22.53743,1,1
20,208,13,0,13,1.15,114.0938,22.56371,0,0
25,215,52,0,52,1.71,114.0751,22.56655,1,0
26,216,24,0,24,1.86,114.0711,22.54714,1,0
27,217,129,0,129,1.44,114.0249,22.52743,1,0
28,223,159,4,155,2.41,114.0478,22.50937,1,1
29,224,141,0,141,1.82,114.0698,22.52417,1,0
30,225,20,0,20,1.57,114.0042,22.53302,1,0
31,226,71,9,62,1.2,114.0218,22.53539,1,0
32,227,95,5,90,1.64,114.0356,22.53703,1,0
33,235,43,0,43,10.82,114.0261,22.5753,0,0
34,307,160,0,160,3.2,113.9412,22.49918,0,0
35,309,119,0,119,7.63,113.9013,22.49661,0,0
39,320,25,0,25,3.28,113.9181,22.56179,1,0
41,322,66,18,48,1.23,113.9465,22.56008,1,1
42,323,41,0,41,1.91,113.9473,22.54934,1,0
43,324,163,0,163,1.76,113.9344,22.54889,1,1
44,325,59,4,55,0.99,113.9469,22.53975,1,1
45,326,145,0,145,1.95,113.9319,22.53578,1,0
46,328,95,0,95,2.81,113.9674,22.55032,1,0
47,329,267,6,261,3.33,113.9816,22.54486,1,0
48,330,35,2,33,2.91,113.9746,22.53477,1,0
49,331,36,0,36,2.84,113.9735,22.52735,1,0
50,332,230,0,230,3.53,113.956,22.54291,1,1
51,333,88,57,31,2.4,113.9661,22.56437,1,1
53,335,271,14,257,18.32,113.9879,22.57965,0,1
56,340,23,0,23,1.5,113.9575,22.58859,0,0
58,343,28,0,28,2.49,113.9934,22.60114,0,0
59,346,110,60,50,35.44,113.9558,22.62228,0,0
60,347,29,0,29,2.44,113.9412,22.51618,1,0
61,348,86,11,75,15.4,114.1072,22.547435,1,0
62,406,14,0,14,6.4,114.2732,22.57869,0,0
63,408,57,0,57,4.38,114.2991,22.5991,0,0
64,501,47,0,47,2.83,113.8862,22.55102,1,0
65,502,100,24,76,2.54,113.87,22.55353,1,0
67,506,186,17,169,3.29,113.9057,22.56845,0,0
71,512,115,30,85,2.38,113.8836,22.58677,0,0
72,513,223,0,223,7.29,113.8733,22.60457,0,0
74,519,199,48,151,4.6,113.8579,22.59503,0,0
75,520,132,20,112,3.11,113.8368,22.59999,0,0
76,522,110,10,100,1.95,113.8473,22.60986,0,1
77,525,102,0,102,1.72,113.8775,22.56334,1,0
78,526,276,10,266,3.17,113.8627,22.56923,0,0
79,527,140,18,122,2.1,113.8533,22.57686,0,0
81,529,48,0,48,0.98,113.8582,22.61829,0,0
82,552,46,0,46,3.22,113.8182,22.66277,0,0
88,570,21,0,21,3.38,113.8485,22.78576,0,0
91,576,146,94,52,2.68,113.8177,22.77567,0,1
92,577,24,6,18,1.99,113.843,22.77957,0,0
94,580,50,30,20,3.85,113.8309,22.74907,0,0
96,584,55,0,55,2.58,113.8283,22.73523,0,0
97,585,12,0,12,3.44,113.8147,22.75813,0,0
98,587,133,4,129,2.88,113.8114,22.74147,0,0
99,588,134,2,132,2.73,113.8087,22.72675,0,0
100,589,80,16,64,3.55,113.8237,22.72127,0,1
102,594,38,0,38,2.04,113.7945,22.72746,0,1
103,595,137,137,0,3.38,113.793,22.70982,0,1
104,596,74,5,69,2.96,113.7904,22.68773,0,1
105,598,12,0,12,2.11,113.8012,22.69107,0,0
107,627,20,20,0,2.88,113.8628,22.78574,0,1
108,628,6,6,0,12.58,113.9469,22.66496,0,1
110,630,6,6,0,4.08,113.8943,22.77903,0,1
111,631,34,6,28,3.52,113.8759,22.77263,0,1
112,632,30,0,30,5.14,113.8849,22.78994,0,0
113,633,135,85,50,4.89,113.9039,22.75977,0,1
114,636,12,12,0,5.29,113.9186,22.73347,0,1
116,638,12,0,12,7.02,113.8806,22.74363,0,0
119,643,31,4,27,2.4,113.8933,22.71749,0,1
120,644,48,0,48,6.38,113.9708,22.72562,0,0
125,655,24,0,24,2.08,113.8882,22.75718,0,0
126,656,50,0,50,2.18,113.9381,22.74968,0,0
128,681,18,0,18,19.58,113.9979,22.63268,0,0
129,682,50,38,12,3,114.0326,22.75218,0,1
130,686,89,0,89,4.08,114.0421,22.73902,0,0
134,690,70,58,12,2.23,114.0322,22.72003,0,1
135,691,35,0,35,2.44,114.0211,22.70901,0,0
137,693,75,27,48,2.07,114.0445,22.72468,0,1
139,698,9,0,9,1.75,114.0424,22.69842,0,0
140,699,86,34,52,4.85,114.0312,22.60431,0,1
141,700,99,0,99,3.99,114.0543,22.60524,0,0
142,701,12,0,12,1.94,114.0388,22.6145,0,0
143,702,3,0,3,2.51,114.0489,22.6219,0,0
144,703,313,0,313,2.38,114.0334,22.62769,0,0
145,704,141,12,129,2.66,114.0207,22.6245,0,0
146,705,57,1,56,1.81,114.0345,22.63789,0,0
147,706,30,0,30,1.62,114.0548,22.63365,0,0
148,708,31,20,11,2.31,114.0434,22.65522,0,1
149,709,56,0,56,1.78,114.027,22.65316,0,0
150,710,83,0,83,2.29,114.018,22.64512,0,0
151,711,34,0,34,1.28,114.0191,22.66198,0,0
152,712,90,46,44,1.69,114.0304,22.66432,0,1
153,715,13,5,8,8.38,113.9911,22.70269,0,0
154,716,147,6,141,3.95,114.0739,22.60935,0,1
156,719,6,0,6,0.8,113.9909,22.67147,0,0
157,724,166,4,162,3,114.0083,22.63661,0,1
159,728,22,12,10,2.9,114.0773,22.7076,0,0
160,729,39,20,19,6.66,114.0807,22.68198,0,1
162,732,43,28,15,1.77,114.0542,22.67545,0,1
163,733,130,0,130,2.47,114.0595,22.68646,0,0
164,735,19,19,0,3.89,114.095,22.71845,0,1
165,737,36,0,36,3.61,114.0844,22.65212,0,0
166,739,10,0,10,1.21,114.0551,22.64887,0,0
168,741,38,16,22,1.72,114.0676,22.66157,0,1
170,744,135,40,95,1.96,114.068,22.64999,0,0
171,745,28,0,28,1.89,114.0605,22.62187,0,0
172,746,115,0,115,2.19,114.0729,22.62301,0,0
175,751,72,0,72,3.46,114.0604,22.69882,0,0
176,771,24,0,24,12.78,114.2461,22.64475,0,0
177,773,40,40,0,5.55,114.16,22.62857,0,0
178,775,26,26,0,6.15,114.0994,22.68114,0,1
180,781,35,12,23,2.77,114.1176,22.67282,0,1
181,783,24,0,24,5.21,114.1,22.64562,0,0
182,784,59,4,55,2.45,114.1389,22.67801,0,0
184,790,32,0,32,5.06,114.2295,22.67213,0,0
186,795,103,8,95,4.39,114.1117,22.63285,0,1
187,799,92,15,77,1.58,114.118,22.61213,0,0
188,802,58,0,58,3.84,114.109,22.65695,0,0
189,804,21,7,14,2.31,114.1351,22.64223,0,1
194,831,18,0,18,3.24,114.2899,22.73848,0,0
195,832,76,40,36,3,114.2882,22.72968,0,1
197,835,12,0,12,2.98,114.2834,22.71874,0,0
198,842,91,10,81,5.33,114.3106,22.76846,0,0
200,848,12,0,12,4.95,114.2933,22.68146,0,0
201,849,50,0,50,3.86,114.2646,22.74609,0,0
202,851,142,0,142,4.38,114.276,22.68978,0,1
203,852,8,0,8,3.87,114.25,22.68022,0,0
204,855,210,0,210,5.16,114.2261,22.73161,0,0
205,858,138,22,116,5.5,114.2339,22.74958,0,1
206,862,36,0,36,7.98,114.2533,22.69603,0,0
209,883,12,0,12,3.79,114.3156,22.67449,0,0
211,887,36,0,36,2.57,114.4092,22.70707,0,0
212,888,141,0,141,5.54,114.3332,22.67855,0,1
213,890,18,0,18,2.33,114.3414,22.69341,0,0
214,891,54,54,0,3.27,114.374,22.70909,0,0
215,893,18,0,18,4.85,114.3603,22.75882,0,0
216,895,45,45,0,4.4,114.394,22.75619,0,1
217,897,44,0,44,5.35,114.4011,22.74548,0,0
218,900,12,0,12,1.81,114.3388,22.70786,0,0
219,901,17,0,17,6.34,114.3823,22.72768,0,0
220,902,108,38,70,4.5,114.3556,22.7122,0,1
221,903,57,0,57,4.93,114.3621,22.69822,0,0
222,904,54,0,54,4.35,114.3896,22.70973,0,0
223,937,22,0,22,33.29,114.501,22.49357,0,0
227,965,129,18,111,2.31,114.0987,22.61688,0,0
228,966,202,12,190,1.42,114.1085,22.61624,0,0
229,967,24,0,24,2.11,114.102,22.59826,0,0
230,969,50,0,50,3.17,114.1255,22.62261,0,0
231,972,75,0,75,3.72,114.1408,22.63139,0,0
232,974,158,0,158,3.64,114.1445,22.6154,0,1
233,975,18,0,18,1.46,114.1751,22.64931,0,0
235,979,16,0,16,2.65,114.1821,22.62917,0,0
237,982,24,0,24,2.69,114.2092,22.64195,0,0
238,983,17,0,17,1.88,114.1707,22.64067,0,0
240,986,88,3,85,0.77,114.1879,22.63844,0,1
241,987,9,0,9,1.23,114.2052,22.65927,0,0
242,988,70,0,70,1.45,114.195,22.65072,0,0
243,989,124,0,124,3.96,114.2208,22.71233,0,0
244,991,23,2,21,2.04,114.2252,22.69373,0,0
245,996,119,0,119,3.33,114.2352,22.70435,0,0
246,998,162,44,118,2.22,114.256,22.7155,0,1
247,1000,193,0,193,3.08,114.2695,22.72019,0,0
248,1009,206,0,206,2.33,114.2513,22.72958,0,0
249,1011,344,0,344,3.41,114.2397,22.72149,0,0
250,1015,96,0,96,3.16,113.8839,22.51386,1,0
252,1026,89,54,35,1.98,114.0808,22.63488,0,1
254,1029,36,36,0,29.67,113.8039,22.639,0,1
255,1031,172,14,158,4.91,113.8366,22.63378,0,1
256,1032,50,0,50,46.24,113.874,22.64662,0,1
257,1037,12,0,12,30.26,114.5156,22.61737,0,0
258,1043,68,0,68,4.56,114.2052,22.70193,0,0
259,1049,202,12,190,2.63,114.3099,22.71846,0,0
261,1060,40,0,40,34.94,113.9707,22.76696,0,0
262,1061,122,0,122,2.03,114.0534,22.54631,1,0
263,1062,143,2,141,2.07,114.0533,22.53673,1,0
266,1066,40,0,40,1.57,113.9103,22.52129,1,0
267,1067,49,0,49,1.52,113.906,22.51218,1,0
268,1068,309,4,305,1.41,113.9187,22.51784,1,0
269,1071,72,0,72,1.1,113.9362,22.52924,1,0
270,1072,68,0,68,1.17,113.9454,22.53025,1,1
271,1074,82,0,82,0.99,113.9214,22.5394,1,0
272,1075,16,0,16,1.01,113.9147,22.54925,1,0
273,1076,123,0,123,1.33,113.9234,22.54958,1,1
274,1081,47,0,47,1.06,113.9132,22.48642,0,0
275,1082,21,0,21,0.59,113.916,22.49459,0,0
276,1083,44,2,42,1.49,113.9298,22.48623,0,0
277,1085,83,0,83,0.38,113.9258,22.52152,1,0
278,1086,12,0,12,0.66,113.9321,22.52104,1,0
280,1088,220,8,212,0.76,113.9242,22.51267,1,1
281,1090,34,0,34,0.54,113.9307,22.50352,0,0
282,1092,24,0,24,0.57,113.923,22.50533,1,0
283,1093,6,0,6,0.92,113.9257,22.49366,0,0
285,1095,29,0,29,0.97,113.9096,22.53069,1,0
286,1096,70,12,58,1.07,113.9199,22.53143,1,0
288,1098,74,28,46,1.52,113.896,22.55854,1,0
289,1099,18,0,18,0.77,114.0446,22.51649,1,0
290,1100,69,0,69,1.05,114.0474,22.52499,1,0
291,1101,20,0,20,0.47,114.0555,22.51732,1,0
292,1102,108,0,108,1.19,114.0551,22.525,1,0
293,1104,27,0,27,0.47,114.0646,22.52713,1,0
294,1105,28,0,28,0.85,114.0351,22.52086,1,0
295,1106,22,0,22,1.26,114.0396,22.52866,1,0
296,1107,12,0,12,0.78,114.0396,22.54603,1,0
297,1109,62,0,62,0.74,114.0387,22.55278,1,0
298,1110,33,0,33,1.18,114.0345,22.55901,1,0
299,1111,59,0,59,1.09,114.0033,22.53855,1,0
300,1112,18,0,18,1.48,114.0008,22.54379,1,0
301,1113,55,0,55,1.29,114.0141,22.54929,1,0
302,1114,45,2,43,0.6,114.0178,22.54145,1,0
303,1115,62,0,62,2.23,114.0243,22.55313,1,0
305,1119,113,0,113,1.05,114.1166,22.54006,0,0
307,1121,37,0,37,0.73,114.1043,22.5559,0,0
308,1122,62,0,62,1,114.1044,22.54872,0,0
309,1124,61,37,24,1.07,114.1096,22.56802,0,1
311,1126,42,0,42,0.56,114.1028,22.562,0,0
313,1131,92,86,6,1.06,114.1073,22.58458,0,1
314,1134,58,0,58,0.96,114.1304,22.574,0,0
316,1137,216,87,129,1.66,114.1225,22.58215,0,1
317,1138,16,0,16,0.9,114.1154,22.58799,0,0
318,1143,26,0,26,0.42,114.1764,22.559,0,0
319,1144,68,0,68,1.85,114.1774,22.56502,0,0
321,1149,48,0,48,1.31,114.2428,22.56276,0,0
322,1154,22,0,22,1.23,114.2244,22.55129,0,0
324,1156,30,0,30,0.57,114.2318,22.55387,0,0
325,1159,114,0,114,1.95,114.2599,22.59085,0,0
326,1160,14,2,12,1.38,114.2527,22.5833,0,0
327,1162,22,0,22,1.4,114.2459,22.5929,0,0
328,1163,18,0,18,1.07,114.1095,22.60267,0,0
329,1164,116,0,116,1.88,114.12,22.59568,0,0
330,1166,76,0,76,2.37,114.1272,22.60459,0,0
331,1167,382,55,327,6.13,114.1453,22.59922,0,1
332,1168,43,12,31,1.43,114.0487,22.57147,0,0
333,1170,10,0,10,2.16,114.0327,22.56949,0,0
335,1172,47,0,47,1.1,114.057,22.57284,0,0
336,1173,44,0,44,1.28,114.0664,22.5739,0,0
