Impulse,Proposed,GCN-LSTM,AST-GAT,PAG-
-0.405798078,0.289778352,-0.58664286,-1.2319298,2.0666213
-0.38783434,0.260221273,-0.20436765,-2.5654917,1.6719426
-0.387670994,0.299909562,-10.081264,-1.4864572,6.7974987
-0.382315755,0.237625599,-6.5725074,-1.126765,7.048565
-0.377201349,0.227767259,-0.5723982,-0.45433068,5.439013
-0.377201349,0.243065715,-1.8914468,-1.2688505,4.9504566
-0.377201349,0.216667384,-0.3711326,-0.24231058,3.4321165
-0.362277448,0.215424284,-0.38130248,-6.4946117,1.3453286
-0.353639275,0.207309097,-1.5805433,-0.35935378,10.47899
-0.312296301,0.210177958,-1.5590018,-2.4542465,4.7496266
-0.223316714,0.167802736,-0.08944455,-3.2942798,2.7228744
-0.221289918,0.160446614,-0.11301095,-0.03342264,1.7366203
-0.21867308,0.156418175,-0.014779694,-0.898296,2.0350895
-0.211393192,0.158260062,-0.8598273,-0.03671673,4.4312716
-0.197605461,0.129054934,-1.4424789,-0.077559546,2.5583663
-0.195431933,0.132352933,-0.6449335,-0.7911116,1.3030214
-0.16898568,0.103194371,-3.1946589,-0.37850812,2.4178262
-0.168070942,0.116676413,-0.06118636,-4.264511,1.5093333
-0.168070942,0.103833757,-0.057073463,-0.52636564,1.846396
-0.160584345,0.121741511,-0.22770868,-0.2797893,1.5425792
-0.142566532,0.100824423,-0.1304681,-1.5596302,2.1300595
-0.139056548,0.08244022,-0.14761478,-0.96806943,1.8771303
-0.137885571,0.090500608,-0.021605471,-0.80272126,1.2532005
-0.122781657,0.063633628,-0.93942046,-3.8555334,1.5018518
-0.121578738,0.086857267,-2.3042097,-0.0316808,1.588762
-0.110147268,0.063295335,-0.08670622,-0.315256,0.91703343
-0.107557453,0.069450691,-1.9632411,-1.4779646,2.7720804
-0.104167633,0.073879771,-0.6045579,-0.9373981,1.36712
-0.100590467,0.051606413,-0.16876899,-0.81197214,1.4812973
-0.099538527,0.076215707,-0.13329998,-1.7938418,1.6125609
-0.096838452,0.066589437,-1.1134254,-0.7322225,0.99088943
-0.090872571,0.057069588,-1.3059429,-0.21352051,1.2793047
-0.08968734,0.06290932,-0.15599987,-0.39575854,0.7611482
-0.08945819,0.050789397,-0.07408654,-0.32684773,0.6199312
-0.085566789,0.061505243,-0.12226246,-0.2590725,0.8015822
-0.076690465,0.047481924,-0.010588099,-0.3641652,0.51468134
-0.070827655,0.048615627,-0.068530336,-0.3963993,0.7525296
-0.069731601,0.04253158,-5.140072,-1.10761,0.86184824
-0.069456026,0.044423681,-0.009020298,-3.4123886,0.5823264
-0.068912297,0.048079874,-0.13734782,-0.20779689,0.60169613
-0.064016618,0.040339805,-0.09172733,-0.11104924,0.7645104
-0.061561782,0.042364441,-0.09508463,-3.04253,0.6630227
-0.061019834,0.037465502,-0.1607669,-0.107175395,0.4807511
-0.056878511,0.034412224,-0.046809275,-0.19504681,0.51335835
-0.054690383,0.039580856,-0.4739747,-0.8628056,0.50011945
-0.047818691,0.034153797,-0.05103498,-2.3756475,0.49532598
-0.047788668,0.035796244,-0.09183937,-0.05517725,0.5613017
-0.045613598,0.029718477,-0.005792094,-0.44715482,0.5095538
-0.044115882,0.034119796,-0.025993763,-0.2459134,0.46231428
-0.043373294,0.026922286,-1.9867057,-0.08662787,0.48281503
-0.038370565,0.02597706,-0.32290965,-0.49689186,0.42864692
-0.037061483,0.022941545,-0.15337549,-3.724862,0.41070083
-0.036774453,0.025313711,-0.07514089,-2.1132753,0.30479753
-0.028651062,0.018307256,-0.5068173,-0.26250723,0.40215653
-0.024140693,0.015573396,-0.06649738,-0.6691381,0.23959625
-0.01728452,0.010246078,-0.14588241,-0.16883671,0.22133532
-0.017036203,0.01078048,-0.102571234,-2.3652935,0.20437875
0.017036203,-0.011115321,0.001894018,0.043766297,-0.20531595
0.01728452,-0.010534398,0.002809824,0.002806604,-0.22254509
0.024140693,-0.016116433,0.001511729,0.015111223,-0.24093008
0.028651062,-0.019221256,0.016324967,0.00824542,-0.4072954
0.036774453,-0.026644206,0.002431318,0.06901948,-0.30698818
0.037061483,-0.024109136,0.005457468,0.13517837,-0.41478896
0.038370565,-0.027772201,0.012679805,0.019253805,-0.4332794
0.043373294,-0.029158399,0.08360933,0.003654966,-0.48903692
0.044115882,-0.036410958,0.001170327,0.011065486,-0.46752298
0.045613598,-0.031494245,0.000261938,0.022540806,-0.51550704
0.047788668,-0.03909881,0.004436589,0.002632544,-0.56902766
0.047818691,-0.036775731,0.002559845,0.11930042,-0.5003096
0.054690383,-0.04279672,0.024892025,0.04533786,-0.5058842
0.056878511,-0.036718428,0.002503887,0.010176681,-0.5196643
0.061019834,-0.040401507,0.008563539,0.005988451,-0.4850233
0.061561782,-0.046279442,0.00551347,0.17606725,-0.6728844
0.064016618,-0.044757195,0.005536438,0.006908138,-0.77671015
0.068912297,-0.056435507,0.008656788,0.013351852,-0.6096339
0.069456026,-0.048352513,0.000579126,0.21832272,-0.589118
0.069731601,-0.046861764,0.34338903,0.07409696,-0.88081455
0.070827655,-0.056920405,0.004799037,0.027754128,-0.7639997
0.076690465,-0.05332933,0.000770803,0.025554918,-0.51985586
0.085566789,-0.070224024,0.009616366,0.02012131,-0.8162062
0.08945819,-0.060375627,0.005836401,0.025748089,-0.62786436
0.08968734,-0.071659774,0.012650862,0.032064155,-0.77461517
0.090872571,-0.064944208,0.11329832,0.01844427,-1.3210684
0.096838452,-0.074155502,0.100406915,0.06607169,-1.0166714
0.099538527,-0.085434407,0.014052918,0.1893968,-1.6855903
0.100590467,-0.062474862,0.018877413,0.090859935,-1.5442206
0.104167633,-0.094076395,0.07171591,0.111891635,-1.4177401
0.107557453,-0.082192652,0.23270339,0.17474872,-2.927612
0.110147268,-0.078336827,0.010412542,0.037979238,-0.93151927
0.121578738,-0.109650396,0.2892686,0.004095173,-1.6529498
0.122781657,-0.075386576,0.117515564,0.48389757,-1.5467257
0.137885571,-0.114067391,0.002746637,0.10272971,-1.2865046
0.139056548,-0.106852345,0.023245312,0.15186885,-1.9628733
0.142566532,-0.125456676,0.021431625,0.24730256,-2.2591336
0.160584345,-0.152043924,0.036697295,0.008519772,-1.5874498
0.168070942,-0.158109069,0.009498168,0.08736274,-1.9097325
0.168070942,-0.139972299,0.011493659,0.8028282,-1.5439972
0.16898568,-0.13187167,6.035158,0.07636838,-2.5421739
0.195431933,-0.196850479,0.122829475,0.15011466,-1.3304449
0.197605461,-0.175815657,0.15588325,0.007066981,-4.4904633
0.211393192,-0.220392421,0.27668536,0.014765767,-2.6888323
0.21867308,-0.207951367,0.003145231,0.19073255,-2.1209247
0.221289918,-0.220812589,0.025144175,0.006608358,-1.7960771
0.223316714,-0.219162673,0.020306049,0.74849963,-2.9010005
0.312296301,-0.340428144,4.951742,0.77570885,-5.1554117
0.353639275,-0.328874052,0.5189264,0.11931081,-10.815056
0.362277448,-0.363339961,0.13549468,2.3245535,-0.6785321
0.377201349,-0.395879507,0.14312911,0.15751798,-3.7262783
0.377201349,-0.407814562,2.5254188,0.43501318,-7.682706
0.377201349,-0.364186496,0.21653059,0.37640864,-5.6621404
0.382315755,-0.411262095,0.7298978,4.964066,-5.409306
0.387670994,-0.484838367,3.9471936,0.57064366,-7.258306
0.38783434,-0.414219111,0.0830051,0.58085585,-1.6680894
0.405798078,-0.520083845,0.24519679,0.47186118,-2.2216263
